regime,coefficient,sigma_multiple,physics_mae,data_mae,soft_mae,residual_mae,G_soft,G_residual
R3_proton_rich,a_a,-1,2.326168002699953,2.169841408600493,2.169841408600493,2.0249555584494483,1.0,1.071550138246978
R3_proton_rich,a_a,1,2.4359520157528975,2.169841408600493,2.169841408600493,2.024018076990955,1.0,1.0720464571276602
R3_proton_rich,a_a,2,2.5093396763151046,2.169841408600493,2.169841408600493,2.0235493362651686,1.0,1.0722947890192454
R3_proton_rich,a_p,-2,2.3795955443313406,2.169841408600493,2.169841408600493,2.023404470918715,1.0,1.072371559807461
R3_proton_rich,a_p,-1,2.3758465228834336,2.169841408600493,2.169841408600493,2.023945644318837,1.0,1.0720848233702234
R3_proton_rich,a_p,1,2.3744899726078557,2.169841408600493,2.169841408600493,2.0250279911207287,1.0,1.0715118102637282
R3_proton_rich,a_p,2,2.376644972423349,2.169841408600493,2.169841408600493,2.0255704535022683,1.0,1.071224851670193
R4_magic_pm1,a_v,-2,8.193745060070833,3.1855237935711194,3.1855237935711194,3.1026504221119064,1.0,1.0267105088180715
R4_magic_pm1,a_v,-1,5.718227758471612,3.1855237935711194,3.1855237935711194,3.102525150344519,1.0,1.0267519646754142
R4_magic_pm1,a_v,1,2.6702535032919292,3.1855237935711194,3.1855237935711194,3.1022746068099023,1.0,1.0268348864341261
R4_magic_pm1,a_v,2,3.6340523322049716,3.1855237935711194,3.1855237935711194,3.102149335042517,1.0,1.0268763523363582
R4_magic_pm1,a_s,-2,2.8272122873750103,3.1855237935711194,3.1855237935711194,3.101767412126068,1.0,1.027002792381406
R4_magic_pm1,a_s,-1,2.7226413311362103,3.1855237935711194,3.1855237935711194,3.102083645351657,1.0,1.0268980974592654
R4_magic_pm1,a_s,1,4.830967060093641,3.1855237935711194,3.1855237935711194,3.1027175779943534,1.0,1.0266882864763647
R4_magic_pm1,a_s,2,6.397543840890419,3.1855237935711194,3.1855237935711194,3.1030482048640264,1.0,1.0265788938044251
R4_magic_pm1,a_c,-2,2.756702224597641,3.1855237935711194,3.1855237935711194,3.1024195785549327,1.0,1.026786903870332
R4_magic_pm1,a_c,-1,2.988992258557844,3.1855237935711194,3.1855237935711194,3.102409728566101,1.0,1.026790163865117
R4_magic_pm1,a_c,1,4.162238341725346,3.1855237935711194,3.1855237935711194,3.1023900285883683,1.0,1.0267966839168117
