N,Z,A,B_exp,B_BWN_published,residual
29,21,50,431.673735,431.0589671355125,0.6147678644875327
28,22,50,437.786135,438.72663817827,-0.940503178269978
27,23,50,434.79516,435.6651445449311,-0.8699845449310715
26,24,50,435.05094,436.2063324933028,-1.1553924933027702
25,25,50,426.634115,427.03951100479884,-0.4053960047988312
24,26,50,417.70134,418.5503948941321,-0.8490548941321094
23,27,50,400.031935,400.20138385115365,-0.1694488511536747
32,19,51,419.288085,417.8025588754762,1.4855261245238012
31,20,51,432.3225885,430.8921747679753,1.4304137320247037
30,21,51,438.4582863,438.2820838614689,0.1762024385311065
29,22,51,444.1585512,443.8953441511988,0.26320704880117773
28,23,51,445.8463452,446.80171227526796,-0.9553670752679864
27,24,51,444.3116073,445.21355429663276,-0.9019469966327733
26,25,51,440.3217702,441.15015211003896,-0.8283819100389564
25,26,51,431.4853827,432.19699032850616,-0.7116076285061581
24,27,51,417.8559999,418.268184983471,-0.4121850834710017
33,19,52,421.9815756,420.35796809925677,1.6236075007432191
32,20,52,438.3278692,436.8447424326929,1.4831267673071125
31,21,52,443.802814,442.93770617954544,0.8651078204545684
30,22,52,451.9746036,452.06539766795555,-0.09079406795552813
29,23,52,453.157588,452.8953749174098,0.26221308259016496
28,24,52,456.3517192,457.41425949894415,-1.0625402989441568
27,25,52,450.8612524,451.217681014014,-0.3564286140139643
26,26,52,447.6996108,448.3055655407665,-0.6059547407664923
25,27,52,432.9291512,433.0150608433956,-0.08590964339560969
24,28,52,420.3626804,420.86072763766236,-0.4980472376623766
34,19,53,425.2109864,424.1972968347705,1.0136895652295266
33,20,53,441.5206233999999,439.71876822175085,1.8018551782490704
32,21,53,450.1201225,449.2629246186927,0.857197881307286
31,22,53,457.4496568,456.90417854823534,0.5454782517646777
30,23,53,461.6375525,461.3944520332076,0.24310046679244124
29,24,53,464.29114590000006,463.76560900048827,0.5255368995117919
28,25,53,462.9115294,463.9111771923266,-0.9996477923265843
27,26,53,458.3863205,459.20526774380556,-0.8189472438055532
26,27,53,449.3158634,449.98021432216564,-0.6643509221656245
25,28,53,435.5049697,436.1522582165409,-0.6472885165408684
34,20,54,445.3648218,444.7056557747164,0.6591660252836391
33,21,54,453.859821,453.1609291328482,0.698891867151815
32,22,54,464.3833518,464.2576180295986,0.12573377040143896
31,23,54,467.7554628,467.1838593917009,0.5716034082990973
30,24,54,474.0102288,473.22583084662,0.7843979533799939
29,25,54,471.85074720000006,471.27234390873394,0.5784032912661132
28,26,54,471.7647683999999,472.934017875072,-1.1692494750720925
27,27,54,462.7378746,462.7253100389742,0.012564561025783405
26,28,54,453.2237712000001,454.1916478043944,-0.9678766043942915
35,20,55,446.92593,446.80532400240304,0.12060599759695378
34,21,55,458.335317,458.5461200555676,-0.2108030555676237
33,22,55,468.543328,468.37913819700816,0.16418980299181385
32,23,55,475.0536505,474.89059668017364,0.16305381982635936
31,24,55,480.256491,479.24243909053604,1.0140519094639444
30,25,55,482.0763585,481.2037477599236,0.8726107400764249
29,26,55,481.0628955,480.76107738805814,0.3018181119418841
28,27,55,476.829122,477.307176378946,-0.47805437894601255
27,28,55,467.3527375,467.8136253885225,-0.46088788852250673
26,29,55,452.869835,452.198695845243,0.6711391547570429
36,20,56,449.8572624,450.8635131716211,-1.006250771621069
35,21,56,461.0803736,461.67550316811725,-0.5951295681172724
34,22,56,474.205172,474.8188696563179,-0.6136976563178678
33,23,56,480.1832336000001,479.99553716412015,0.18769643587995688
32,24,56,488.5026103999999,487.9478337583586,0.5547766416412969
31,25,56,489.3468048,488.2032494359997,1.1435553640002922
30,26,56,492.2599528,491.74237088700744,0.5175819129925685
29,27,56,486.9109616,486.3427254000643,0.5682361999357113
28,28,56,483.9957416,483.82073699715124,0.17500460284873043
27,29,56,467.9354792,467.0671988260061,0.8682803739938549
36,21,57,465.0154962,466.1466990550006,-1.1312028550006517
35,22,57,477.2553456,478.19254772368214,-0.9372021236821411
34,23,57,486.5062119,486.7992033740385,-0.29299147403850156
33,24,57,493.8137886,493.2861168399524,0.5276717600476104
32,25,57,497.9927322,497.3039808555086,0.6887513444913793
31,26,57,499.9061253,499.0792613371554,0.826863962844584
30,27,57,498.2874165,497.9527148351422,0.3347016648577892
29,28,57,494.2433748,494.215459547238,0.02791525276199991
28,29,57,484.6860822,484.4566416393024,0.2294405606975829
37,21,58,467.1867288,468.5214585677464,-1.334729767746353
36,22,58,481.8424820000001,483.7246564683411,-1.8821744683410202
35,23,58,490.5730480000001,491.1681613545,-0.5951133544999152
34,24,58,501.3519246,501.1104177347898,0.24150686521022635
33,25,58,504.4053404,503.605299300681,0.800041099319003
32,26,58,509.9506972,509.17381380691387,0.7768833930861092
31,27,58,506.8603702,506.2913040500012,0.5690661499987755
30,28,58,506.4596018,507.031865477885,-0.5722636778850188
29,29,58,497.1162368,496.2071669585091,0.9090698414909184
28,30,58,486.9649086,487.229464592627,-0.26455599262698115
38,21,59,470.6080307,472.1137443126783,-1.5057136126783348
36,23,59,495.8244006000001,497.0712523603484,-1.2468517603483065
35,24,59,505.5473705,505.71704319178576,-0.16967269178576316
34,25,59,512.1744216,511.7889693850692,0.3854522149307513
33,26,59,516.5317014,515.7425426347322,0.7891587652677572
32,27,59,517.3142361,516.8338987394679,0.48033736053207576
31,28,59,515.4588808000001,515.8205773691318,-0.3616965691317091
30,29,59,509.8781593,509.81689729423425,0.06126200576574092
29,30,59,499.9530318,499.79589299533376,0.1571388046662605
