regime,population,family,mechanism,n,mae,rmse,bias,median_ae,p95_ae,G_vs_data_MAE,fraction_G_soft_gt1,fraction_G_residual_gt1
R6_N126,primary,hgb,adaptive,14,4.471521757892837,4.708132429297155,-4.471521757892837,4.791496791842064,6.090217635254703,0.9118769629148857,,
R6_N126,primary,mlp,data,14,4.785304841255311,5.2115301418029505,-4.731697924913631,4.920118164357973,7.511303857569805,,,
R6_N126,primary,mlp,soft,14,5.18987894820899,5.715513498089701,-5.18987894820899,5.210248946714046,8.619212248433245,0.9220455600234575,,
R6_N126,primary,mlp,residual,14,1.0773464645694568,1.1881235961099104,-1.0773464645694568,0.8505348131906203,1.9616888767916179,4.441751097375788,,
R6_N126,primary,mlp,adaptive,14,5.042537351978077,5.520829521216415,-5.042537351978077,5.063465098081451,8.307067211955337,0.9489874853139443,,
R6_N126,primary,mlp,seed_robustness,5,,,,,,,0.2,1.0
R6_N126,primary,ridge,data,14,4.551124001433858,5.48599040118954,-4.551124001433858,4.204443969046906,9.067323830226394,,,
R6_N126,primary,ridge,soft,14,4.551124001433858,5.48599040118954,-4.551124001433858,4.204443969046906,9.067323830226394,1.0,,
R6_N126,primary,ridge,residual,14,4.605584814775739,5.533106381095314,-4.605584814775739,4.152111003944469,9.090052345490971,0.9881750493081447,,
R6_N126,primary,ridge,adaptive,14,4.892599065356178,5.693447376566905,-4.892599065356178,4.488852673345377,9.22435315166491,0.9302057946378116,,
R7_light_random,light,physics,physics_only,509,2.5638428036497625,3.652445059816623,-0.16565204027915054,1.8510593092753425,6.371337651823565,,,
R7_light_random,light,hgb,data,509,2.9441003341941316,4.507483223554459,0.21154817480369556,2.2545959925200805,7.114811937280339,,,
R7_light_random,light,hgb,soft,509,1.908494984862631,2.616042890377394,-0.014771954246008903,1.4348704440278652,5.150201591916925,1.542629327059008,,
R7_light_random,light,hgb,residual,509,0.4731223611437297,1.198217906537222,-0.017900759773345796,0.24789557522478844,1.1618584387530508,6.222703841511613,,
R7_light_random,light,hgb,adaptive,509,1.818930868775325,2.467676751460426,0.13999919474989284,1.370405865702537,4.895595265909878,1.6185883612918046,,
R7_light_random,light,mlp,data,509,2.065329764521458,2.9567269760120465,0.09841875764814831,1.4361581160419519,6.026636055212291,,,
R7_light_random,light,mlp,soft,509,1.9171545527405613,2.6121126289043204,-0.06002372110822751,1.4933340712232166,5.063896143682469,1.0772891322554465,,
R7_light_random,light,mlp,residual,509,0.5676422317051544,0.9371323256831479,0.07003962550473178,0.26230410894618217,2.2594507019852377,3.638435706796098,,
R7_light_random,light,mlp,adaptive,509,1.8075851394118656,2.3924237757113005,0.06036358968171168,1.3722817721040883,4.873875885202093,1.1425905864624748,,
R7_light_random,primary,mlp,seed_robustness,5,,,,,,,1.0,1.0
R7_light_random,light,ridge,data,509,1.9152689565513037,2.463315939209039,-0.03737476491567141,1.7043396252040566,4.411427475769322,,,
R7_light_random,light,ridge,soft,509,1.9152689565513037,2.463315939209039,-0.03737476491567141,1.7043396252040566,4.411427475769322,1.0,,
R7_light_random,light,ridge,residual,509,1.7667995645873433,2.233406352998788,-0.028656254979555786,1.5892036742902746,3.9650572570370506,1.0840329570709608,,
R7_light_random,light,ridge,adaptive,509,1.9427613171413716,2.5190470502792466,-0.05076003266590151,1.58763327995689,4.577900260337264,0.985848822319295,,
R4_magic_pm2,primary,physics,physics_only,817,3.289062377590699,4.4844146693855755,-2.7154713363276537,2.271045353444947,9.660833751993504,,,
R4_magic_pm2,primary,hgb,data,817,6.753870203324682,10.18485755772355,-1.504622937127536,4.587604411641678,25.06803917904014,,,
R4_magic_pm2,primary,hgb,soft,817,3.4055095537292575,4.76949230523548,-2.231131976647602,2.4238561989335494,10.769252115670737,1.9832186921715573,,
R4_magic_pm2,primary,hgb,residual,817,1.3945409643902735,1.9546683641934892,-1.215842915085537,0.9493566671848157,4.027571832307874,4.843077669129379,,
R4_magic_pm2,primary,hgb,adaptive,817,3.4484965982085827,5.050604681904777,-1.8250761457631877,2.3242639928546396,10.719835358741628,1.9584969887553803,,
R4_magic_pm2,primary,mlp,data,817,3.585127790580259,4.390650278915653,-1.9046881451078939,3.1405471395115114,7.984092539272022,,,
R4_magic_pm2,primary,mlp,soft,817,3.068238150358059,3.8967649409611314,-2.3911580598397455,2.504515512003536,7.755295299045146,1.1684646415604603,,
R4_magic_pm2,primary,mlp,residual,817,1.5613353113494155,2.046014194335828,-1.270714860251969,1.2220417202042881,4.138935519557116,2.2961933702003705,,
R4_magic_pm2,primary,mlp,adaptive,817,3.0456541398663557,3.8417101478298865,-2.35742132804008,2.5212277112893844,7.645541231068771,1.177128992964899,,
R4_magic_pm2,primary,mlp,seed_robustness,5,,,,,,,1.0,1.0
R4_magic_pm2,primary,ridge,data,817,3.080553368340132,3.987234537046102,-2.6399238407870085,2.510389072587884,8.45738897805677,,,
R4_magic_pm2,primary,ridge,soft,817,3.080553368340132,3.987234537046102,-2.6399238407870085,2.510389072587884,8.45738897805677,1.0,,
R4_magic_pm2,primary,ridge,residual,817,3.0361834745544907,3.926145561535643,-2.71463598726519,2.464458380415522,8.34904124445679,1.0146137063710063,,
R4_magic_pm2,primary,ridge,adaptive,817,2.9864736884971235,4.000047766241528,-2.6137807514691493,2.2684680215993467,8.552017710556758,1.0315019282458007,,
R0_random_broad,broad,physics,physics_only,492,2.287977024237305,3.0848172340621347,-0.009296531692043015,1.785010263303434,6.108536032328709,,,
R0_random_broad,broad,hgb,data,492,2.533950287419898,3.741002822424375,0.029005164352146763,1.8868263921028756,6.960129004575201,,,
R0_random_broad,broad,hgb,soft,492,1.6190176384166375,2.121486735470093,0.006024146725637068,1.3861571441987905,3.8861060755553125,1.565115924183534,,
R0_random_broad,broad,hgb,residual,492,0.33882619587335555,0.7224028644267684,-0.013281871833903374,0.21982945143741972,0.8276193569830465,7.478613868353388,,
R0_random_broad,broad,hgb,adaptive,492,1.5583484083070989,2.0590612054932698,0.12504075056463565,1.243696540862743,3.745664008022657,1.626048625526969,,
R0_random_broad,broad,mlp,data,492,2.2338237012587494,3.177574892269502,0.24336552648298243,1.6359478797567135,6.5227322230275,,,
