method,observable,n,mae,rmse,bias,median_ae,p95_ae,regime
B_mlp_data,Sn,18,1.4171757605660358,1.7161916721565367,-0.01036729661569148,1.2356540811977368,2.9312312252328,R1_Ca
B_mlp_data,S2n,17,2.30503697738821,2.7046503374404702,-0.18749368860992424,2.3460568187542776,4.544273180357413,R1_Ca
B_mlp_data,Sp,0,,,,,,R1_Ca
B_mlp_data,S2p,0,,,,,,R1_Ca
B_mlp_data,Qalpha,0,,,,,,R1_Ca
B_mlp_data,delta2n,15,2.876209642992152,3.425946406478738,-0.7928439396744921,2.323165145599262,6.155719841914548,R1_Ca
B_mlp_data,delta2p,0,,,,,,R1_Ca
B_mlp_soft,Sn,18,1.017271512123459,1.250163929588442,-0.18259816864326378,0.9026219961982349,2.16025457334739,R1_Ca
B_mlp_soft,S2n,17,1.7387371248646626,2.1526958825061646,-0.5013085932689458,1.3444194433769212,3.75392190795211,R1_Ca
B_mlp_soft,Sp,0,,,,,,R1_Ca
B_mlp_soft,S2p,0,,,,,,R1_Ca
B_mlp_soft,Qalpha,0,,,,,,R1_Ca
B_mlp_soft,delta2n,15,2.197543861773158,2.5653601077666948,-0.09253733497371665,2.3741556950920994,4.0583853126813825,R1_Ca
B_mlp_soft,delta2p,0,,,,,,R1_Ca
B_mlp_residual,Sn,18,0.834067740376595,0.9827637999305753,-0.10664596941653157,0.7289588789749075,1.7014174824388701,R1_Ca
B_mlp_residual,S2n,17,1.2454265812095353,1.5902211063044944,-0.316122137867868,0.976305007297924,2.7479000134569893,R1_Ca
B_mlp_residual,Sp,0,,,,,,R1_Ca
B_mlp_residual,S2p,0,,,,,,R1_Ca
B_mlp_residual,Qalpha,0,,,,,,R1_Ca
B_mlp_residual,delta2n,15,1.597738014468098,1.924594410467975,-0.00823600522370498,1.4457879306352766,3.4294105501817342,R1_Ca
B_mlp_residual,delta2p,0,,,,,,R1_Ca
B_mlp_adaptive,Sn,18,1.0031413857378924,1.2507962749781913,-0.14216450741422035,0.9370983626156715,2.176611529563772,R1_Ca
B_mlp_adaptive,S2n,17,1.7043912968447263,2.1281183310600307,-0.4280681498169288,1.2842441710191679,3.6676361051419115,R1_Ca
B_mlp_adaptive,Sp,0,,,,,,R1_Ca
B_mlp_adaptive,S2p,0,,,,,,R1_Ca
B_mlp_adaptive,Qalpha,0,,,,,,R1_Ca
B_mlp_adaptive,delta2n,15,2.1961034519276494,2.558292142410555,-0.1701556801694513,2.2499897645145097,3.957731931957044,R1_Ca
B_mlp_adaptive,delta2p,0,,,,,,R1_Ca
B_ridge_data,Sn,18,0.9496657771206477,1.120258457635083,0.0004985676178850756,1.0213328306296319,1.8690210737532367,R1_Ca
B_ridge_data,S2n,17,1.4338866872391336,1.7878662282176994,-0.1408811600185499,1.5468751896800654,3.1631301630135225,R1_Ca
B_ridge_data,Sp,0,,,,,,R1_Ca
B_ridge_data,S2p,0,,,,,,R1_Ca
B_ridge_data,Qalpha,0,,,,,,R1_Ca
