method,observable,n,mae,rmse,bias,median_ae,p95_ae,regime
B_mlp_soft,delta2n,28,0.6997488739917108,1.4401186469455958,-0.19615923676771882,0.24590930933641175,3.045250608499099,R1_Sn
B_mlp_soft,delta2p,0,,,,,,R1_Sn
B_mlp_residual,Sn,31,0.24183984695629268,0.33269132622188824,-0.016390783943965318,0.17212796610624537,0.6878289023883895,R1_Sn
B_mlp_residual,S2n,30,0.2658651952088159,0.3806578869688849,-0.03486790529534194,0.2017427512721497,0.8670460389806844,R1_Sn
B_mlp_residual,Sp,0,,,,,,R1_Sn
B_mlp_residual,S2p,0,,,,,,R1_Sn
B_mlp_residual,Qalpha,0,,,,,,R1_Sn
B_mlp_residual,delta2n,28,0.27930992733572324,0.5205186406625214,-0.035574840369905915,0.13797379111747432,0.7874898493194222,R1_Sn
B_mlp_residual,delta2p,0,,,,,,R1_Sn
B_mlp_adaptive,Sn,31,0.7401030825038348,0.9161151253489456,0.004802752634044473,0.6527090561885416,1.9672532500429725,R1_Sn
B_mlp_adaptive,S2n,30,1.3427266730607774,1.6239780100000902,-0.0755814379987972,1.0234144505155314,3.1642164407636693,R1_Sn
B_mlp_adaptive,Sp,0,,,,,,R1_Sn
B_mlp_adaptive,S2p,0,,,,,,R1_Sn
B_mlp_adaptive,Qalpha,0,,,,,,R1_Sn
B_mlp_adaptive,delta2n,28,0.701042696958597,1.4731847840073835,-0.22833932165944962,0.23605141733844448,3.169567813535831,R1_Sn
B_mlp_adaptive,delta2p,0,,,,,,R1_Sn
B_ridge_data,Sn,31,0.5723986516694815,0.7776598411646705,-0.11486023163428355,0.36208953380537423,1.5944821950664618,R1_Sn
B_ridge_data,S2n,30,0.9943599315283981,1.3360674873918674,-0.29066461887304057,0.6948763612958828,2.6472236305983072,R1_Sn
B_ridge_data,Sp,0,,,,,,R1_Sn
B_ridge_data,S2p,0,,,,,,R1_Sn
B_ridge_data,Qalpha,0,,,,,,R1_Sn
B_ridge_data,delta2n,28,0.6545707862836464,1.318563909793796,-0.1466766210217705,0.3383220485483207,2.6979267629322967,R1_Sn
B_ridge_data,delta2p,0,,,,,,R1_Sn
B_ridge_soft,Sn,31,0.5723986516694815,0.7776598411646705,-0.11486023163428355,0.36208953380537423,1.5944821950664618,R1_Sn
B_ridge_soft,S2n,30,0.9943599315283981,1.3360674873918674,-0.29066461887304057,0.6948763612958828,2.6472236305983072,R1_Sn
B_ridge_soft,Sp,0,,,,,,R1_Sn
B_ridge_soft,S2p,0,,,,,,R1_Sn
B_ridge_soft,Qalpha,0,,,,,,R1_Sn
B_ridge_soft,delta2n,28,0.6545707862836464,1.318563909793796,-0.1466766210217705,0.3383220485483207,2.6979267629322967,R1_Sn
B_ridge_soft,delta2p,0,,,,,,R1_Sn
B_ridge_residual,Sn,31,0.5626479996738586,0.7438182761700132,-0.08662461045814633,0.3985721701433249,1.4292299717147898,R1_Sn
B_ridge_residual,S2n,30,1.0078455291544135,1.334554603681322,-0.22521298236173,0.8279516271789475,2.69520878079229,R1_Sn
B_ridge_residual,Sp,0,,,,,,R1_Sn
B_ridge_residual,S2p,0,,,,,,R1_Sn
B_ridge_residual,Qalpha,0,,,,,,R1_Sn
