regime,family,mechanism,observable,n,G
R6_N82,hgb,adaptive,delta2p,18,1.6456777099314577
R6_N82,mlp,soft,Sp,21,1.7668601960578876
R6_N82,mlp,soft,S2p,20,1.3559442560663166
R6_N82,mlp,soft,delta2p,18,1.7683982867524963
R6_N82,mlp,residual,Sp,21,3.144908962831646
R6_N82,mlp,residual,S2p,20,5.402401767525591
R6_N82,mlp,residual,delta2p,18,3.422993807579353
R6_N82,mlp,adaptive,Sp,21,1.64804144050721
R6_N82,mlp,adaptive,S2p,20,1.3644060196742462
R6_N82,mlp,adaptive,delta2p,18,1.6063745767705382
R6_N126,ridge,soft,Sp,13,1.0
R6_N126,ridge,soft,S2p,12,1.0
R6_N126,ridge,soft,delta2p,10,1.0
R6_N126,ridge,residual,Sp,13,1.002686690942143
R6_N126,ridge,residual,S2p,12,1.0285313797049924
R6_N126,ridge,residual,delta2p,10,0.9794378282183523
R6_N126,ridge,adaptive,Sp,13,1.048482146166975
R6_N126,ridge,adaptive,S2p,12,1.057681652594518
R6_N126,ridge,adaptive,delta2p,10,0.9826246516613769
R6_N126,hgb,soft,Sp,13,1.5455247860147274
R6_N126,hgb,soft,S2p,12,1.153687578328296
R6_N126,hgb,soft,delta2p,10,1.9867217568899391
R6_N126,hgb,residual,Sp,13,3.4617334348682145
R6_N126,hgb,residual,S2p,12,2.0870950221894184
R6_N126,hgb,residual,delta2p,10,2.380377964659572
R6_N126,hgb,adaptive,Sp,13,1.3906414742932411
R6_N126,hgb,adaptive,S2p,12,1.273411083376951
R6_N126,hgb,adaptive,delta2p,10,1.4538843882238457
R6_N126,mlp,soft,Sp,13,1.828791358923144
R6_N126,mlp,soft,S2p,12,1.1013526039694794
R6_N126,mlp,soft,delta2p,10,1.5014788608650425
R6_N126,mlp,residual,Sp,13,6.51599603813703
R6_N126,mlp,residual,S2p,12,4.837805854014028
R6_N126,mlp,residual,delta2p,10,2.7341263942706346
R6_N126,mlp,adaptive,Sp,13,1.5885351020967755
R6_N126,mlp,adaptive,S2p,12,1.076109909767367
R6_N126,mlp,adaptive,delta2p,10,1.4067431552378353
R7_light_random,ridge,soft,Sn,88,1.0
R7_light_random,ridge,soft,S2n,109,1.0
R7_light_random,ridge,soft,Sp,102,1.0
R7_light_random,ridge,soft,S2p,96,1.0
R7_light_random,ridge,soft,Qalpha,101,1.0
R7_light_random,ridge,soft,delta2n,23,1.0
R7_light_random,ridge,soft,delta2p,15,1.0
R7_light_random,ridge,residual,Sn,88,1.1310833578913564
R7_light_random,ridge,residual,S2n,109,1.0736131327686074
R7_light_random,ridge,residual,Sp,102,1.2478712058355015
R7_light_random,ridge,residual,S2p,96,1.0907614025795125
R7_light_random,ridge,residual,Qalpha,101,3.1782953397450746
R7_light_random,ridge,residual,delta2n,23,1.0647476908710538
R7_light_random,ridge,residual,delta2p,15,1.112991718580288
R7_light_random,ridge,adaptive,Sn,88,1.056310841934181
R7_light_random,ridge,adaptive,S2n,109,0.9706438559139086
R7_light_random,ridge,adaptive,Sp,102,1.2325461345068738
R7_light_random,ridge,adaptive,S2p,96,1.0460661412006376
R7_light_random,ridge,adaptive,Qalpha,101,1.4057317549707904
R7_light_random,ridge,adaptive,delta2n,23,0.9947812753203542
R7_light_random,ridge,adaptive,delta2p,15,0.9922287976740426
R7_light_random,hgb,soft,Sn,88,2.4059211829025013
R7_light_random,hgb,soft,S2n,109,2.40163854225807
R7_light_random,hgb,soft,Sp,102,2.4020180574053605
R7_light_random,hgb,soft,S2p,96,2.2627413690597327
R7_light_random,hgb,soft,Qalpha,101,3.4697703235514314
R7_light_random,hgb,soft,delta2n,23,2.4475268869244475
R7_light_random,hgb,soft,delta2p,15,2.254130353704368
R7_light_random,hgb,residual,Sn,88,6.420316721728997
R7_light_random,hgb,residual,S2n,109,6.945457052225245
R7_light_random,hgb,residual,Sp,102,7.424190209875037
R7_light_random,hgb,residual,S2p,96,5.801477879821607
R7_light_random,hgb,residual,Qalpha,101,9.644141463816812
R7_light_random,hgb,residual,delta2n,23,7.083187881055522
R7_light_random,hgb,residual,delta2p,15,5.108897371684424
R7_light_random,hgb,adaptive,Sn,88,2.1937423459067125
R7_light_random,hgb,adaptive,S2n,109,2.134101585458934
R7_light_random,hgb,adaptive,Sp,102,2.075188317416564
R7_light_random,hgb,adaptive,S2p,96,2.2032587136182373
R7_light_random,hgb,adaptive,Qalpha,101,3.8604723774203142
R7_light_random,hgb,adaptive,delta2n,23,2.2352122941246657
R7_light_random,hgb,adaptive,delta2p,15,1.9818282793578859
R7_light_random,mlp,soft,Sn,88,1.9766002245555772
R7_light_random,mlp,soft,S2n,109,1.4143719298288657
R7_light_random,mlp,soft,Sp,102,2.0133243638883638
R7_light_random,mlp,soft,S2p,96,1.869113171992933
R7_light_random,mlp,soft,Qalpha,101,4.710522645507919
R7_light_random,mlp,soft,delta2n,23,1.5582440469947025
R7_light_random,mlp,soft,delta2p,15,1.6959238080045367
R7_light_random,mlp,residual,Sn,88,3.940070487887247
R7_light_random,mlp,residual,S2n,109,3.574348263883456
R7_light_random,mlp,residual,Sp,102,4.407873280353452
R7_light_random,mlp,residual,S2p,96,4.354976982975599
R7_light_random,mlp,residual,Qalpha,101,1.2460394071288228
R7_light_random,mlp,residual,delta2n,23,2.2029559347986343
R7_light_random,mlp,residual,delta2p,15,1.926224487155134
R7_light_random,mlp,adaptive,Sn,88,1.8612508709819857
R7_light_random,mlp,adaptive,S2n,109,1.4197032124945985
R7_light_random,mlp,adaptive,Sp,102,1.8266335259023603
R7_light_random,mlp,adaptive,S2p,96,1.722533568412545
R7_light_random,mlp,adaptive,Qalpha,101,4.620647466653347
R7_light_random,mlp,adaptive,delta2n,23,1.454487728109716
R7_light_random,mlp,adaptive,delta2p,15,1.5905534699381683
R4_magic_pm2,ridge,soft,Sn,729,1.0
