N,Z,observable,derived_keV,official_keV,abs_diff_keV
10,6,S2p_keV,40838.311400000006,40838.3114,7.275957614183426e-12
10,6,Qalpha_keV,-13808.543600000005,-13808.5442,0.0005999999957566615
9,7,Sn_keV,2488.8491000000067,2488.849,0.00010000000656873453
9,7,Sp_keV,11478.209599999987,11478.209,0.0005999999866617145
9,7,S2n_keV,13322.146399999998,13322.1458,0.0005999999975756509
9,7,S2p_keV,32557.722200000004,32557.7208,0.001400000004650792
9,7,Qalpha_keV,-10110.406799999997,-10110.4066,0.00019999999676656444
8,8,Sn_keV,15663.9427,15663.9424,0.00029999999969732016
8,8,Sp_keV,12127.410700000008,12127.4113,0.0005999999921186827
8,8,S2n_keV,28887.418999999994,28887.4195,0.0005000000055588316
8,8,S2p_keV,22334.83799999999,22334.8376,0.00039999998989515007
8,8,Qalpha_keV,-7161.917600000001,-7161.918,0.0003999999989900971
7,9,Sn_keV,13962.888500000001,13962.8884,0.00010000000111176632
7,9,Sp_keV,-530.588499999998,-530.5885,1.9326762412674725e-12
7,9,S2n_keV,37431.8566,37431.857,0.0004000000044470653
7,9,S2p_keV,6766.176800000001,6766.1772,0.0003999999989900971
7,9,Qalpha_keV,-9087.801600000006,-9087.8022,0.0005999999939376721
6,10,Sn_keV,24299.915699999998,24299.9167,0.0010000000038417056
6,10,Sp_keV,-131.05229999999574,-131.0518,0.0004999999957533419
6,10,S2p_keV,-1401.0529999999999,-1401.0517,0.001299999999901047
6,10,Qalpha_keV,-10451.47480000001,-10451.4758,0.0009999999892897904
12,5,Sn_keV,1466.6949000000022,1466.6951,0.00019999999767605914
12,5,Sp_keV,21019.789300000004,21019.788,0.0013000000035390258
12,5,S2n_keV,1383.6938999999984,1383.6939,1.5916157281026244e-12
12,5,Qalpha_keV,-15689.489400000006,-15689.4889,0.0005000000055588316
11,6,Sn_keV,733.5717999999906,733.5717,9.999999065257725e-05
11,6,Sp_keV,23368.789399999994,23368.7903,0.0009000000063679181
11,6,S2n_keV,4983.901399999988,4983.9018,0.0004000000117230229
11,6,S2p_keV,43371.88339999999,43371.8832,0.00019999999494757503
11,6,Qalpha_keV,-15052.116299999994,-15052.1159,0.00039999999353312887
10,7,Sn_keV,5885.146200000003,5885.1465,0.00029999999696883606
10,7,Sp_keV,13113.026199999993,13113.0255,0.000699999993230449
10,7,S2n_keV,8373.99530000001,8373.9955,0.00019999999130959623
10,7,S2p_keV,35665.24279999999,35665.2429,0.00010000000474974513
10,7,Qalpha_keV,-11116.785199999998,-11116.7852,1.8189894035458565e-12
9,8,Sn_keV,4143.079500000007,4143.0801,0.0005999999930281774
9,8,Sp_keV,13781.641100000008,13781.6425,0.0013999999919178663
9,8,S2n_keV,19807.022200000007,19807.0225,0.00029999999242136255
9,8,S2p_keV,25259.850699999995,25259.8515,0.0008000000052561518
9,8,Qalpha_keV,-6358.6888000000035,-6358.6894,0.0005999999966661562
8,9,Sn_keV,16794.798800000004,16794.7986,0.00020000000586151145
8,9,Sp_keV,600.2676000000065,600.2676,6.480149750132114e-12
8,9,S2n_keV,30757.687300000005,30757.687,0.00030000000333529897
8,9,S2p_keV,12727.678300000014,12727.6789,0.0005999999866617145
8,9,Qalpha_keV,-5818.696200000006,-5818.6957,0.0005000000055588316
7,10,Sn_keV,15557.641499999998,15557.6411,0.0003999999971711077
7,10,Sp_keV,1463.7007000000012,1463.7009,0.00019999999881292752
7,10,S2n_keV,39857.557199999996,39857.5578,0.0006000000066705979
7,10,S2p_keV,933.1122000000032,933.1123,9.999999679166649e-05
7,10,Qalpha_keV,-9039.895499999999,-9039.8956,0.00010000000111176632
6,11,Sp_keV,-3443.8331000000035,-3443.8336,0.0004999999964638846
6,11,S2p_keV,-3574.885399999999,-3574.8854,9.094947017729282e-13
13,5,Sn_keV,-5.000099999990198,-5.0,9.99999901978299e-05
13,5,S2n_keV,1461.694800000012,1461.6951,0.00029999998787388904
12,6,Sn_keV,4183.932400000005,4183.9319,0.0005000000055588316
12,6,Sp_keV,26086.026899999997,26086.0271,0.00020000000222353265
12,6,S2n_keV,4917.504199999996,4917.5036,0.0005999999957566615
12,6,S2p_keV,47105.8162,47105.8151,0.0011000000013154931
12,6,Qalpha_keV,-17460.1532,-17460.1527,0.0005000000019208528
11,7,Sn_keV,2828.2288000000117,2828.2294,0.0005999999884807039
11,7,Sp_keV,15207.683200000014,15207.6831,0.00010000001384469215
11,7,S2n_keV,8713.375000000015,8713.3759,0.0008999999845400453
11,7,S2p_keV,38576.47260000001,38576.4735,0.0008999999918160029
11,7,Qalpha_keV,-12975.434800000017,-12975.4343,0.000500000016472768
10,8,Sn_keV,8045.371099999989,8045.3702,0.0008999999890875188
10,8,Sp_keV,15941.865999999995,15941.8662,0.00020000000586151145
10,8,S2n_keV,12188.450599999996,12188.4503,0.00029999999605934136
10,8,S2p_keV,29054.892199999987,29054.8916,0.0005999999884807039
10,8,Qalpha_keV,-6227.626199999999,-6227.6255,0.0006999999986874172
9,9,Sn_keV,9149.906599999988,9149.9069,0.000300000012430246
9,9,Sp_keV,5607.094699999987,5607.0944,0.00029999998696439434
9,9,S2n_keV,25944.70539999999,25944.7054,7.275957614183426e-12
9,9,S2p_keV,19388.735799999995,19388.7368,0.0010000000038417056
9,9,Qalpha_keV,-4415.219799999992,-4415.2202,0.0004000000080850441
8,10,Sn_keV,19254.153900000005,19254.1527,0.0012000000060652383
8,10,Sp_keV,3923.055800000002,3923.055,0.0008000000020729203
8,10,S2n_keV,34811.7954,34811.7938,0.001600000003236346
8,10,S2p_keV,4523.323400000008,4523.3226,0.0008000000079846359
8,10,Qalpha_keV,-5115.080000000002,-5115.0797,0.00030000000151630957
7,11,Sn_keV,17752.906700000007,17752.9059,0.0008000000052561518
7,11,Sp_keV,-1248.5678999999946,-1248.5688,0.0009000000054584234
7,11,S2p_keV,215.13280000000668,215.1321,0.0007000000066739176
7,11,Qalpha_keV,-9351.327000000005,-9351.3267,0.0003000000051542884
14,5,Sn_keV,93.70659999999043,93.7073,0.000700000009572932
14,5,S2n_keV,88.70650000000023,88.7073,0.0007999999997707619
13,6,Sn_keV,576.8282000000036,576.8292,0.0009999999964520612
13,6,Sp_keV,26667.85519999999,26667.8564,0.001200000009703217
13,6,S2n_keV,4760.760600000009,4760.7611,0.0004999999910069164
13,6,Qalpha_keV,-19836.9816,-19836.982,0.0004000000008090865
12,7,Sn_keV,5328.230199999976,5328.2305,0.0003000000233441824
12,7,Sp_keV,16351.980999999985,16351.9817,0.0007000000150583219
12,7,S2n_keV,8156.458999999988,8156.4598,0.0008000000116226147
12,7,S2p_keV,42438.00789999998,42438.0088,0.0009000000209198333
12,7,Qalpha_keV,-15526.03939999998,-15526.0403,0.0009000000209198333
11,8,Sn_keV,3955.643000000011,3955.6439,0.0008999999890875188
11,8,Sp_keV,17069.280199999994,17069.2807,0.0005000000055588316
11,8,S2n_keV,12001.0141,12001.0141,0.0
11,8,S2p_keV,32276.963400000008,32276.9638,0.00039999999353312887
11,8,Qalpha_keV,-8965.20239999998,-8965.2032,0.000800000019808067
10,9,Sn_keV,10431.87539999999,10431.8757,0.0003000000106112566
10,9,Sp_keV,7993.598999999987,7993.5998,0.0008000000125321094
10,9,S2n_keV,19581.781999999977,19581.7825,0.0005000000237487257
10,9,S2p_keV,23935.464999999982,23935.466,0.0010000000183936208
10,9,Qalpha_keV,-4013.797900000005,-4013.7991,0.0011999999951513018
9,10,Sn_keV,11636.88029999999,11636.8819,0.0016000000105123036
9,10,Sp_keV,6410.029500000004,6410.03,0.0004999999955543899
9,10,S2n_keV,30891.034199999995,30891.0346,0.0004000000044470653
9,10,S2p_keV,12017.124199999991,12017.1244,0.00020000000949949026
9,10,Qalpha_keV,-3528.4839999999967,-3528.4845,0.0005000000032850949
8,11,Sn_keV,20179.924800000008,20179.9254,0.0005999999921186827
8,11,Sp_keV,-322.7969999999914,-322.7961,0.0008999999913612555
8,11,S2n_keV,37932.831500000015,37932.8313,0.00020000001677544788
