vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2020,12,16,28,S,--,4073.203,160.0,7478.7911,5.7143,B-,-24197.0,525.0,28.004372762,171.767,False,False,True,False,4073.203,7478.7911,  -4   12   16   28 S    --    4073.203     160.000      7478.7911     5.7143  B- -24197#       525#       28 004372.762     171.767   ,209.4061508,0.1600004,-0.14285714285714285,1,1
2020,20,9,29,F,x,40150.19,525.363,6444.0314,18.116,B-,21750.3873,546.2212,29.043103,564.0,False,False,False,False,40150.190,6444.0314,0 11   20    9   29 F     x   40150.190     525.363      6444.0314    18.1160  B-  21750.3873   546.2212   29 043103.000     564.000   ,186.8769106,0.525364,0.3793103448275862,1,0
2020,19,10,29,Ne,x,18399.803,149.505,7167.0673,5.1553,B-,15719.8092,149.6847,29.019753,160.5,False,False,False,False,18399.803,7167.0673,   9   19   10   29 Ne    x   18399.803     149.505      7167.0673     5.1553  B-  15719.8092   149.6847   29 019753.000     160.500   ,207.8449517,0.14950370000000002,0.3103448275862069,0,1
2020,18,11,29,Na,,2679.994,7.337,7682.1522,0.253,B-,13292.3538,7.3447,29.002877091,7.876,False,False,False,False,2679.994,7682.1522,   7   18   11   29 Na         2679.994       7.337      7682.1522     0.2530  B-  13292.3538     7.3447   29 002877.091       7.876   ,222.7824138,0.007337,0.2413793103448276,1,0
2020,17,12,29,Mg,,-10612.36,0.345,8113.5317,0.0119,B-,7595.4023,0.4873,28.988607163,0.369,False,False,False,False,-10612.360,8113.5317,   5   17   12   29 Mg       -10612.360       0.345      8113.5317     0.0119  B-   7595.4023     0.4873   28 988607.163       0.369   ,235.29241929999998,0.00034510000000000004,0.1724137931034483,0,1
2020,16,13,29,Al,x,-18207.762,0.345,8348.4647,0.0119,B-,3687.3192,0.3447,28.980453164,0.37,False,False,False,False,-18207.762,8348.4647,   3   16   13   29 Al    x  -18207.762       0.345      8348.4647     0.0119  B-   3687.3192     0.3447   28 980453.164       0.370   ,242.10547630000002,0.00034510000000000004,0.10344827586206896,1,0
2020,15,14,29,Si,,-21895.08154,0.00056,8448.6361,0.0002,B-,-4942.2325,0.3589,28.97649466434,0.0006,False,False,False,False,-21895.08154,8448.6361,   1   15   14   29 Si       -21895.08154     0.00056    8448.6361     0.0002  B-  -4942.2325     0.3589   28 976494.66434     0.00060 ,245.01044689999998,5.8e-06,0.034482758620689655,0,1
2020,14,15,29,P,,-16952.849,0.359,8251.2368,0.0124,B-,-13858.4257,13.0459,28.981800368,0.385,False,False,False,False,-16952.849,8251.2368,  -1   14   15   29 P        -16952.849       0.359      8251.2368     0.0124  B- -13858.4257    13.0459   28 981800.368       0.385   ,239.2858672,0.00035959999999999996,-0.034482758620689655,1,0
2020,13,16,29,S,x,-3094.423,13.041,7746.3826,0.4497,B-,-17117.0,189.0,28.996678,14.0,False,False,True,False,-3094.423,7746.3826,  -3   13   16   29 S     x   -3094.423      13.041      7746.3826     0.4497  B- -17117#       189#       28 996678.000      14.000   ,224.6450954,0.0130413,-0.10344827586206896,0,1
2020,20,10,30,Ne,,23280.12,253.25,7034.5317,8.4417,B-,14805.4501,253.2946,30.024992235,271.875,False,False,False,False,23280.120,7034.5317,  10   20   10   30 Ne        23280.120     253.250      7034.5317     8.4417  B-  14805.4501   253.2946   30 024992.235     271.875   ,211.035951,0.25325100000000006,0.3333333333333333,1,1
2020,19,11,30,Na,,8474.67,4.727,7501.9685,0.1576,B-,17356.0423,4.9011,30.009097931,5.074,False,False,False,False,8474.670,7501.9685,   8   19   11   30 Na         8474.670       4.727      7501.9685     0.1576  B-  17356.0423     4.9011   30 009097.931       5.074   ,225.059055,0.0047279999999999996,0.26666666666666666,0,0
2020,18,12,30,Mg,,-8881.373,1.295,8054.425,0.0432,B-,6982.744,2.3287,29.990465454,1.39,False,False,False,False,-8881.373,8054.4250,   6   18   12   30 Mg        -8881.373       1.295      8054.4250     0.0432  B-   6982.7440     2.3287   29 990465.454       1.390   ,241.63275,0.001296,0.2,1,1
2020,17,13,30,Al,,-15864.116,1.936,8261.1049,0.0645,B-,8568.8459,1.9357,29.982969171,2.077,False,False,False,False,-15864.116,8261.1049,   4   17   13   30 Al       -15864.116       1.936      8261.1049     0.0645  B-   8568.8459     1.9357   29 982969.171       2.077   ,247.833147,0.001935,0.13333333333333333,0,0
