vintage,N,Z,A,element,target_measured,Sn_keV,S2n_keV,Sp_keV,S2p_keV,Qalpha_keV,delta2n_keV,delta2p_keV
2012,45,40,85,Zr,True,9824.781000000075,23406.169999999925,6569.52899999998,10954.344000000041,-4070.7909999999683,1091.0059999998193,2665.667999999947
2012,44,41,85,Nb,True,,24011.800999999978,2148.091000000015,8653.065999999992,-2992.846999999834,275.59499999985565,2664.7729999999283
2012,43,42,85,Mo,True,,,,6177.179999999935,-1538.2789999999804,,
2012,42,43,85,Tc,False,,,,,,,
2012,55,31,86,Ga,False,,,,,,,
2012,54,32,86,Ge,False,,,,,,,
2012,53,33,86,As,True,3844.3659999999218,9251.21399999992,13127.725999999908,,-8456.327999999863,,
2012,52,34,86,Se,True,6160.852000000072,10698.080000000075,14603.052000000025,26932.676000000094,-7513.040000000037,1174.420000000042,3166.6560000000754
2012,51,35,86,Br,True,5128.069999999949,13991.754000000074,10507.550000000047,24356.597999999998,-7954.0779999999795,2765.4080000001704,2801.8680000000168
2012,50,36,86,Kr,True,9856.724000000046,16969.030000000028,11979.173999999999,21895.8820000001,-8096.680000000051,4400.8120000000345,2662.2800000001444
2012,49,37,86,Rb,True,8651.000999999931,19130.670000000042,8555.716000000015,19541.850000000093,-7674.711999999941,3126.03600000008,3412.1680000000633
2012,48,38,86,Sr,True,11491.271999999997,20016.293999999994,9644.816999999923,16661.83799999999,-6357.76800000004,475.5,2978.7639999999665
2012,47,39,86,Y,True,9512.400000000023,21532.38399999996,5468.949999999953,14102.16399999999,-5520.305999999982,374.19599999987986,2631.4560000000056
2012,46,40,86,Zr,True,12865.917000000016,22690.69800000009,7415.462000000058,11897.033999999985,-4383.505999999936,888.3640000000596,2601.1720000000205
2012,45,41,86,Nb,True,10924.539000000106,,3247.8490000000456,9817.378000000026,-3494.829999999958,,2691.048000000068
2012,44,42,86,Mo,True,14671.839000000036,,5119.539000000106,7267.630000000121,,,
2012,43,43,86,Tc,False,,,,,,,
2012,56,31,87,Ga,False,,,,,,,
2012,55,32,87,Ge,False,,,,,,,
2012,54,33,87,As,True,4727.031000000075,8571.396999999997,,,-8785.651999999885,,
2012,53,34,87,Se,True,3994.2249999999767,10155.077000000048,14752.91100000008,27880.636999999988,-7874.62200000009,1446.1630000000587,3193.018999999971
2012,52,35,87,Br,True,6330.780000000028,11458.849999999977,10677.478000000003,25280.530000000028,-6647.310999999987,933.689000000013,2882.05700000003
2012,51,36,87,Kr,True,5515.126999999862,15371.850999999908,12366.230999999912,22873.78099999996,-7793.812999999849,3402.9369999998016,2796.610999999917
2012,50,37,87,Rb,True,9922.035000000033,18573.035999999964,8621.027000000002,20600.201,-8009.2380000001285,5315.91399999999,2910.87900000019
2012,49,38,87,Sr,True,8428.14300000004,19919.415000000037,9421.959000000032,17977.675000000047,-7314.942000000039,2448.069000000134,3403.368000000133
2012,48,39,87,Y,True,11806.447999999975,21318.847999999998,5784.125999999931,15428.942999999854,-6372.673999999883,485.4330000000773,3243.9249999998137
2012,47,40,87,Zr,True,9449.24700000009,22315.164000000106,7352.309000000125,12821.259000000078,-4973.848000000115,642.7010000002338,2574.9720000001835
2012,46,41,87,Nb,True,12811.667000000016,23736.206000000122,3193.5990000000456,10609.061000000103,-4093.612000000081,841.4010000001872,2509.5270000001183
2012,45,42,87,Mo,True,10845.827000000048,25517.666000000085,5040.827000000048,8288.676000000094,-3399.185999999987,1244.8910000001779,
2012,44,43,87,Tc,True,,,868.7539999999572,5988.293000000063,-1704.4340000000084,,
2012,43,44,87,Ru,False,,,,,,,
2012,56,32,88,Ge,False,,,,,,,
2012,55,33,88,As,False,,,,,,,
2012,54,34,88,Se,True,5529.435000000056,9523.660000000033,15555.31500000006,,-8160.676000000094,1465.0720000001602,
2012,53,35,88,Br,True,4895.565999999875,11226.345999999903,11578.818999999901,26331.72999999998,-7287.283999999869,1799.3419999998296,3105.0259999999544
2012,52,36,88,Kr,True,7053.091000000131,12568.217999999993,13088.542000000016,23766.02000000002,-6168.4400000000605,1157.6199999999953,2930.442000000039
2012,51,37,88,Rb,True,6082.598999999929,16004.633999999962,9188.499000000069,21554.72999999998,-7250.824000000022,3106.314000000013,3090.9899999999907
2012,50,38,88,Sr,True,11112.650999999954,19540.793999999994,10612.574999999953,19233.601999999955,-7906.971999999951,5370.599999999977,3803.4980000000214
2012,49,39,88,Y,True,9351.740000000107,21158.188000000082,6707.722999999998,16129.68200000003,-6964.692000000039,2819.4960000001593,3188.2900000000373
