vintage,kind,N,Z,A,element,Sn_keV,Sn_unc_keV,Sn_estimated,Sp_keV,Sp_unc_keV,Sp_estimated,Q4beta_keV,Q4beta_unc_keV,Q4beta_estimated,Qda_keV,Qda_unc_keV,Qda_estimated,Qpa_keV,Qpa_unc_keV,Qpa_estimated,Qna_keV,Qna_unc_keV,Qna_estimated,raw_line
2020,rct2,89,62,151,Sm,5596.4623,0.1087,False,8268.1153,20.0003,False,-5824.0918,3.1447,False,12198.7316,1.91,False,7153.452,5.5846,False,8477.9881,1.8697,False, 151 Sm  62    5596.4623    0.1087   8268.1153   20.0003  -5824.0918    3.1447  12198.7316    1.9100   7153.4520    5.5846   8477.9881    1.8697
2020,rct2,88,63,151,Eu,7932.0467,6.1782,False,4890.7336,0.5472,False,-11030.3521,8.3288,False,13193.6069,0.6611,False,9547.0236,1.0137,False,7859.1808,5.6099,False, 151 Eu  63    7932.0467    6.1782   4890.7336    0.5472 -11030.3521    8.3288  13193.6069    0.6611   9547.0236    1.0137   7859.1808    5.6099
2020,rct2,87,64,151,Gd,6496.1874,6.6098,False,6685.5218,6.7639,False,-15922.6301,16.7395,False,12963.2036,4.6733,False,6972.6171,10.3504,False,10793.5485,2.9095,False, 151 Gd  64    6496.1874    6.6098   6685.5218    6.7639 -15922.6301   16.7395  12963.2036    4.6733   6972.6171   10.3504  10793.5485    2.9095
2020,rct2,86,65,151,Tb,8589.0699,8.3146,False,3148.4607,7.1691,False,-20851.9273,19.7903,False,14214.4395,5.042,False,9509.9337,4.0486,False,10320.3437,10.7053,False, 151 Tb  65    8589.0699    8.3146   3148.4607    7.1691 -20851.9273   19.7903  14214.4395    5.0420   9509.9337    4.0486  10320.3437   10.7053
2020,rct2,85,66,151,Dy,7514.088,5.0259,False,4935.5704,7.8815,False,-27210.0363,300.5085,False,13447.0584,4.4367,False,6648.6139,12.853,False,13163.4332,2.9155,False, 151 Dy  66    7514.0880    5.0259   4935.5704    7.8815 -27210.0363  300.5085  13447.0584    4.4367   6648.6139   12.8530  13163.4332    2.9155
2020,rct2,84,67,151,Ho,9748.1723,16.3549,False,1602.0989,8.9355,False,-33322.0,300.0,True,14782.0512,12.3088,False,9100.7058,12.0305,False,12560.603,14.9621,False, 151 Ho  67    9748.1723   16.3549   1602.0989    8.9355 -33322#      300#      14782.0512   12.3088   9100.7058   12.0305  12560.6030   14.9621
2020,rct2,83,68,151,Er,8506.2854,23.8096,False,3609.3695,21.7251,False,,,False,14090.3704,20.3692,False,4588.9313,85.4369,False,15239.5087,18.6376,False, 151 Er  68    8506.2854   23.8096   3609.3695   21.7251      *                 14090.3704   20.3692   4588.9313   85.4369  15239.5087   18.6376
2020,rct2,82,69,151,Tm,12352.0,197.0,True,229.2616,8.9301,False,,,False,13680.8145,34.0045,False,5571.4388,21.9176,False,12865.9551,86.0442,False, 151 Tm  69   12352#      197#        229.2616    8.9301      *                 13680.8145   34.0045   5571.4388   21.9176  12865.9551   86.0442
2020,rct2,81,70,151,Yb,10783.0,425.0,True,2340.0,359.0,True,,,False,13109.0,361.0,True,2086.7373,300.667,False,15583.0473,300.667,False, 151 Yb  70   10783#      425#       2340#      359#          *                 13109#      361#       2086.7373  300.6670  15583.0473  300.6670
2020,rct2,80,71,151,Lu,13600.0,424.0,True,-1240.9653,1.8222,False,,,False,13740.0,424.0,True,4794.0,500.0,True,14111.0,300.0,True, 151 Lu  71   13600#      424#      -1240.9653    1.8222      *                 13740#      424#       4794#      500#      14111#      300#    
2020,rct2,97,55,152,Cs,2921.0,707.0,True,,,False,34628.0,501.0,True,10571.0,583.0,True,8734.0,583.0,True,,,False,0152 Cs  55    2921#      707#          *                 34628#      501#      10571#      583#       8734#      583#          *               
2020,rct2,96,56,152,Ba,4741.0,565.0,True,14619.0,640.0,True,28540.0,400.0,True,7271.0,565.0,True,6554.0,565.0,True,-2963.0,500.0,True, 152 Ba  56    4741#      565#      14619#      640#      28540#      400#       7271#      565#       6554#      565#      -2963#      500#    
2020,rct2,95,57,152,La,4051.0,529.0,True,11639.0,500.0,True,21964.0,301.0,True,11311.0,300.0,True,8405.0,300.0,True,-344.0,500.0,True, 152 La  57    4051#      529#      11639#      500#      21964#      301#      11311#      300#       8405#      300#       -344#      500#    
2020,rct2,94,58,152,Ce,5827.0,201.0,True,12959.0,479.0,True,15783.0,200.0,True,8042.0,200.0,True,6104.0,283.0,True,-503.0,200.0,True, 152 Ce  58    5827#      201#      12959#      479#      15783#      200#       8042#      200#       6104#      283#       -503#      200#    
2020,rct2,93,59,152,Pr,5049.7067,21.8936,False,9821.983,25.629,False,9130.4299,18.5734,False,11799.5998,21.9186,False,7775.9058,21.1802,False,2108.2528,201.1184,False, 152 Pr  59    5049.7067   21.8936   9821.9830   25.6290   9130.4299   18.5734  11799.5998   21.9186   7775.9058   21.1802   2108.2528  201.1184
2020,rct2,92,60,152,Nd,7277.798,24.4551,False,10658.9531,27.0973,False,4557.6402,24.4582,False,8861.6526,26.0784,False,5753.7649,26.393,False,2166.6594,26.5346,False, 152 Nd  60    7277.7980   24.4551  10658.9531   27.0973   4557.6402   24.4582   8861.6526   26.0784   5753.7649   26.3930   2166.6594   26.5346
2020,rct2,91,61,152,Pm,5939.5263,26.269,False,7600.256,25.8859,False,-537.1648,47.6456,False,13136.2898,25.8857,False,7985.1216,25.9519,False,5431.3069,27.7222,False, 152 Pm  61    5939.5263   26.2690   7600.2560   25.8859   -537.1648   47.6456  13136.2898   25.8857   7985.1216   25.9519   5431.3069   27.7222
2020,rct2,90,62,152,Sm,8257.8154,0.6056,False,8665.6882,4.5161,False,-4645.0141,4.5451,False,9545.1654,20.0094,False,6165.4824,1.9963,False,5258.9598,1.9339,False, 152 Sm  62    8257.8154    0.6056   8665.6882    4.5161  -4645.0141    4.5451   9545.1654   20.0094   6165.4824    1.9963   5258.9598    1.9339
2020,rct2,89,63,152,Eu,6306.7198,0.0997,False,5600.9911,0.5432,False,-9283.8642,12.5708,False,14873.6427,0.5528,False,9111.4533,0.6657,False,8822.3068,1.9829,False, 152 Eu  63    6306.7198    0.0997   5600.9911    0.5432  -9283.8642   12.5708  14873.6427    0.5528   9111.4533    0.6657   8822.3068    1.9829
2020,rct2,88,64,152,Gd,8589.7014,2.8537,False,7343.1765,0.6995,False,-14207.0853,8.8772,False,10795.8729,6.1935,False,6598.0684,3.8033,False,8074.9966,0.7268,False, 152 Gd  64    8589.7014    2.8537   7343.1765    0.6995 -14207.0853    8.8772  10795.8729    6.1935   6598.0684    3.8033   8074.9966    0.7268
