vintage,kind,N,Z,A,element,S2n_keV,S2n_unc_keV,S2n_estimated,S2p_keV,S2p_unc_keV,S2p_estimated,Qalpha_keV,Qalpha_unc_keV,Qalpha_estimated,Q2beta_keV,Q2beta_unc_keV,Q2beta_estimated,Qep_keV,Qep_unc_keV,Qep_estimated,Qbeta_n_keV,Qbeta_n_unc_keV,Qbeta_n_estimated,raw_line
2012,rct1,84,53,137,I,8709.93,9.97,False,21244.57,8.87,False,141.34,8.97,False,10189.57,8.39,False,-19135.42,10.51,False,2001.58,8.38,False, 137 I   53    8709.93    9.97  21244.57    8.87    141.34    8.97  10189.57    8.39 -19135.42   10.51   2001.58    8.38
2012,rct1,83,54,137,Xe,12109.26,4.15,False,19233.48,2.7,False,-1876.25,3.61,False,5338.06,0.3,False,-15246.56,2.45,False,-4115.8,1.88,False, 137 Xe  54   12109.26    4.15  19233.48    2.70  -1876.25    3.61   5338.06    0.30 -15246.56    2.45  -4115.80    1.88
2012,rct1,82,55,137,Cs,15106.64,1.05,False,17334.81,5.41,False,-3084.17,4.68,False,595.08,1.64,False,-14289.32,14.2,False,-5730.0,0.19,False, 137 Cs  55   15106.64    1.05  17334.81    5.41  -3084.17    4.68    595.08    1.64 -14289.32   14.20  -5730.00    0.19
2012,rct1,81,56,137,Ba,16013.37,0.08,False,15882.63,4.16,False,-2502.8,2.42,False,-1802.65,0.32,False,-8581.27,0.28,False,-9755.29,53.17,False, 137 Ba  56   16013.37    0.08  15882.63    4.16  -2502.80    2.42  -1802.65    0.32  -8581.27    0.28  -9755.29   53.17
2012,rct1,80,57,137,La,16640.03,9.57,False,14137.03,1.93,False,-1494.89,1.65,False,-3939.07,8.29,False,-8090.96,2.47,False,-8703.63,1.61,False, 137 La  57   16640.03    9.57  14137.03    1.93  -1494.89    1.65  -3939.07    8.29  -8090.96    2.47  -8703.63    1.61
2012,rct1,79,58,137,Ce,17445.08,10.27,False,12646.03,0.31,False,-790.13,1.08,False,-6334.24,11.74,False,-4320.64,0.31,False,-12649.7,11.46,False, 137 Ce  58   17445.08   10.27  12646.03    0.31   -790.13    1.08  -6334.24   11.74  -4320.64    0.31 -12649.70   11.46
2012,rct1,78,59,137,Pr,18408.61,14.35,False,11136.27,12.45,False,-132.37,29.11,False,-9128.99,15.37,False,-4453.33,53.79,False,-12073.87,14.35,False, 137 Pr  59   18408.61   14.35  11136.27   12.45   -132.37   29.11  -9128.99   15.37  -4453.33   53.79 -12073.87   14.35
2012,rct1,77,60,137,Nd,19513.59,22.44,False,9546.15,15.59,False,408.73,20.13,False,-11558.04,43.27,False,-364.95,11.74,False,-16475.38,72.33,False, 137 Nd  60   19513.59   22.44   9546.15   15.59    408.73   20.13 -11558.04   43.27   -364.95   11.74 -16475.38   72.33
2012,rct1,76,61,137,Pm,20188.56,66.5,False,7714.93,17.6,False,1439.82,18.06,False,-13954.0,196.0,True,-21.39,17.36,False,-15333.28,18.06,False, 137 Pm  61   20188.56   66.50   7714.93   17.60   1439.82   18.06 -13954#    196#      -21.39   17.36 -15333.28   18.06
2012,rct1,75,62,137,Sm,21311.94,160.33,False,6390.86,46.51,False,1880.93,62.98,False,-16813.0,301.0,True,3883.79,44.01,False,-19854.0,200.0,True, 137 Sm  62   21311.94  160.33   6390.86   46.51   1880.93   62.98 -16813#    301#     3883.79   44.01 -19854#    200#  
2012,rct1,74,63,137,Eu,22114.0,277.0,True,4670.0,206.0,True,2864.0,202.0,True,-19152.0,540.0,True,3773.0,208.0,True,-19100.0,357.0,True, 137 Eu  63   22114#    277#     4670#    206#     2864#    202#   -19152#    540#     3773#    208#   -19100#    357#  
2012,rct1,73,64,137,Gd,23064.0,499.0,True,2934.0,336.0,True,3593.0,422.0,True,,,False,8308.0,298.0,True,-23227.0,585.0,True, 137 Gd  64   23064#    499#     2934#    336#     3593#    422#        *              8308#    298#   -23227#    585#  
2012,rct1,72,65,137,Tb,24284.0,643.0,True,1397.0,540.0,True,3844.0,585.0,True,,,False,7988.0,540.0,True,,,False, 137 Tb  65   24284#    643#     1397#    540#     3844#    585#        *              7988#    540#        *           
2012,rct1,88,50,138,Sn,5104.0,718.0,True,,,False,,,False,20835.0,596.0,True,,,False,7098.0,668.0,True,0138 Sn  50    5104#    718#        *                 *             20835#    596#        *              7098#    668#  
