old_vintage,new_vintage,N,Z,A,element,label,delta_mass_excess_keV,new_primary_eligible,new_broad_eligible,old_mass_excess_keV,new_mass_excess_keV
2012,2016,22,12,34,Mg,changed,0.0010000000002037268,True,True,8323.347,8323.348
2012,2016,21,13,34,Al,changed,68.61199999999963,True,True,-3068.901,-3000.289
2012,2016,20,14,34,Si,changed,-0.12299999999959255,True,True,-19956.729,-19956.852
2012,2016,19,15,34,P,unchanged,0.0,True,True,-24548.698,-24548.698
2012,2016,18,16,34,S,changed,0.007999999997991836,True,True,-29931.693,-29931.685
2012,2016,17,17,34,Cl,changed,0.005000000001018634,True,True,-24440.087,-24440.082
2012,2016,16,18,34,Ar,changed,0.0030000000006111804,True,True,-18378.293,-18378.29
2012,2016,23,12,35,Mg,unchanged,0.0,False,True,15639.784,15639.784
2012,2016,22,13,35,Al,changed,-3.8950000000000102,True,True,-219.833,-223.728
2012,2016,21,14,35,Si,changed,-31.058000000000902,True,True,-14360.399,-14391.457
2012,2016,20,15,35,P,changed,-0.007999999997991836,True,True,-24857.791,-24857.799
2012,2016,19,16,35,S,changed,0.011000000002240995,True,True,-28846.217,-28846.206
2012,2016,18,17,35,Cl,changed,0.012000000002444722,True,True,-29013.54,-29013.528
2012,2016,17,18,35,Ar,changed,0.12600000000020373,True,True,-23047.41,-23047.284
2012,2016,16,19,35,K,unchanged,0.0,True,True,-11172.891,-11172.891
2012,2016,24,12,36,Mg,unchanged,0.0,False,True,20380.157,20380.157
2012,2016,23,13,36,Al,unchanged,0.0,False,True,5950.384,5950.384
2012,2016,22,14,36,Si,changed,-42.800999999999476,True,True,-12393.323,-12436.124
2012,2016,21,15,36,P,changed,-0.006000000001222361,True,True,-20251.028,-20251.034
2012,2016,20,16,36,S,changed,-0.007000000001426088,True,True,-30664.124,-30664.131
2012,2016,19,17,36,Cl,changed,0.011999999998806743,True,True,-29522.017,-29522.005
2012,2016,18,18,36,Ar,unchanged,0.0,True,True,-30231.54,-30231.54
2012,2016,17,19,36,K,unchanged,0.0,True,True,-17417.065,-17417.065
2012,2016,16,20,36,Ca,changed,0.0009999999992942321,True,True,-6451.15,-6451.149
2012,2016,25,12,37,Mg,new,,False,True,,28211.474
2012,2016,24,13,37,Al,unchanged,0.0,False,True,9809.563,9809.563
