regime,family,mechanism,observable,n,mae,rmse,bias,median_ae,p95_ae,G_vs_data_MAE
R2_neutron_rich_broad,mlp,soft,B/A,519,0.02991696578788149,0.04097110590675411,0.012181879639086334,0.024606400917134508,0.06835718888815377,2.8662637778869064
R2_neutron_rich_broad,mlp,residual,B/A,519,0.013670874075108606,0.030168908649000264,0.008509819721029457,0.004828402744552207,0.053532338401032845,6.2724530202656625
R2_neutron_rich_broad,mlp,adaptive,B/A,519,0.03449669175237104,0.044364580908530134,0.023764795434370586,0.02848151333608495,0.08633738688869437,2.485743154666207
R3_proton_rich,physics,physics_only,B/A,491,0.02320351170436097,0.032084477794693415,-0.01659842076306169,0.016539490571684468,0.07425344374937781,
R3_proton_rich,BWN,physics_only_shell_aware,B/A,491,0.010397130793241404,0.019595827960625038,-0.007074108661687913,0.005426875260502229,0.04988499332353058,
R3_proton_rich,ridge,data,B/A,491,0.03438198511064136,0.08508417825875496,0.0255131055555214,0.011998965312592702,0.1400656910099558,
R3_proton_rich,ridge,soft,B/A,491,0.03438198511064136,0.08508417825875496,0.0255131055555214,0.011998965312592702,0.1400656910099558,1.0
R3_proton_rich,ridge,residual,B/A,491,0.032213151839912045,0.08245052805409425,0.01627656340765728,0.011581694706864099,0.12308057144461948,1.0673275710960433
R3_proton_rich,ridge,adaptive,B/A,491,0.024404811192568324,0.049916446036854314,0.005852363366350285,0.011933232308093622,0.08392169180746833,1.4088199592837356
R3_proton_rich,hgb,data,B/A,491,0.15925785667080133,0.29942024730402905,0.15872846555827827,0.08248379277329754,0.6510409708752025,
R3_proton_rich,hgb,soft,B/A,491,0.054954148898994956,0.11129769923452103,0.05353233376547433,0.024701772582274906,0.2385283576706061,2.898013341331431
R3_proton_rich,hgb,residual,B/A,491,0.011674464355800947,0.01970443521412636,-0.006712446739876525,0.005658690055107662,0.03904671201746135,13.641555776532686
R3_proton_rich,hgb,adaptive,B/A,491,0.05673188939516075,0.14530860036968216,0.05538798696617003,0.023354503067231747,0.2702342754223004,2.807201705578769
R3_proton_rich,mlp,data,B/A,491,0.11357079558409656,0.16445084033143337,0.07211210987224838,0.08800636679074092,0.27196622177410257,
R3_proton_rich,mlp,soft,B/A,491,0.04055279731582207,0.06571100584809648,0.01888579149106237,0.029290876213274863,0.10561299238448107,2.8005662519311785
R3_proton_rich,mlp,residual,B/A,491,0.03352939261228465,0.0848909549947752,0.02821455042057589,0.004485295849372406,0.185683378072921,3.3872011013550534
R3_proton_rich,mlp,adaptive,B/A,491,0.03772092542452822,0.07163096101385312,0.01393952338083791,0.02713886131077281,0.08679092745983397,3.0108167895119187
R3_proton_rich_broad,physics,physics_only,B/A,519,0.025691024862400255,0.03649653346883771,-0.010278979302067833,0.016577276374412087,0.07478413902155498,
R3_proton_rich_broad,BWN,physics_only_shell_aware,B/A,0,,,,,,
R3_proton_rich_broad,ridge,data,B/A,519,0.04372142254103172,0.09495899586646889,0.03490633364367254,0.013376055905355955,0.2297078386495801,
R3_proton_rich_broad,ridge,soft,B/A,519,0.04372142254103172,0.09495899586646889,0.03490633364367254,0.013376055905355955,0.2297078386495801,1.0
R3_proton_rich_broad,ridge,residual,B/A,519,0.047423557739845947,0.12393683650992966,0.032491166560082343,0.012786812611315312,0.2135781482777911,0.9219346802464035
R3_proton_rich_broad,ridge,adaptive,B/A,519,0.03217096015163179,0.062523164858836,0.014774458516319458,0.012878916973575905,0.14429633722447002,1.359033809838407
R3_proton_rich_broad,hgb,data,B/A,519,0.21038594441623304,0.4439561541607879,0.2101207784795374,0.08380336197779314,0.8429752523729598,
R3_proton_rich_broad,hgb,soft,B/A,519,0.0789146353446348,0.17994178099990024,0.07788092381057424,0.025346468547279954,0.3517700472245875,2.6659940009535457
R3_proton_rich_broad,hgb,residual,B/A,519,0.014532705573001153,0.024123354119021508,-0.010047659591596342,0.007695380518832451,0.050927824846401036,14.476722407910598
