N,Z,A,B_total_MeV,B_1_volume,residual_B_1_volume,residual_BA_1_volume,B_2_surface,residual_B_2_surface,residual_BA_2_surface,B_3_coulomb,residual_B_3_coulomb,residual_BA_3_coulomb,B_4_asymmetry,residual_B_4_asymmetry,residual_BA_4_asymmetry,B_5_pairing,residual_B_5_pairing,residual_BA_5_pairing,is_magic_Z,is_magic_N
15,14,29,245.0104469,455.9327624363758,-210.9223155363758,-7.2731832943577865,287.43838608100896,-42.42793918100895,-1.4630323855520329,245.07114713227998,-0.06070023227997012,-0.002093111457930004,244.27014401279163,0.7403028872083723,0.025527685765805944,244.27014401279163,0.7403028872083723,0.025527685765805944,False,False
14,15,29,239.2858672,455.9327624363758,-216.6468952363758,-7.470582594357786,287.43838608100896,-48.152518881008945,-1.6604316855520325,238.55311037093708,0.7327568290629358,0.025267476864239167,237.75210725144873,1.5337599485512783,0.05288827408797511,237.75210725144873,1.5337599485512783,0.05288827408797511,False,False
13,16,29,224.6450954,455.9327624363758,-231.2876670363758,-7.975436794357787,287.43838608100896,-62.793290681008955,-2.165285885552033,231.5694995552125,-6.9244041552125,-0.2387725570762931,224.3604714798175,0.28462392018249716,0.009814617937327488,224.3604714798175,0.28462392018249716,0.009814617937327488,False,False
19,11,30,225.059055,471.6545818307336,-246.5955268307336,-8.219850894357787,299.30869819286227,-74.24964319286227,-2.474988106428742,273.9898638611453,-48.930808861145294,-1.6310269620381765,224.43447086880047,0.6245841311995264,0.020819471039984213,222.31726830559168,2.7417866944083187,0.09139288981361063,False,False
18,12,30,241.63275,471.6545818307336,-230.02183183073362,-7.667394394357787,299.30869819286227,-57.67594819286228,-1.9225316064287425,268.9260969948019,-27.293346994801936,-0.9097782331600646,241.05118843660796,0.5815615633920288,0.01938538544640096,243.16839099981675,-1.5356409998167635,-0.05118803332722545,False,False
17,13,30,247.833147,471.6545818307336,-223.8214348307336,-7.460714494357787,299.30869819286227,-51.47555119286227,-1.7158517064287424,263.40198768606365,-15.568840686063652,-0.5189613562021217,251.01313943797743,-3.1799924379774325,-0.10599974793258109,248.89593687476864,-1.0627898747686402,-0.035426329158954675,False,False
16,14,30,255.619647,471.6545818307336,-216.03493483073362,-7.201164494357787,299.30869819286227,-43.68905119286228,-1.4563017064287427,257.4175359349306,-1.7978889349305973,-0.05992963116435324,254.32032387290903,1.2993231270909575,0.04331077090303192,256.4375264361178,-0.8178794361178348,-0.027262647870594493,False,False
15,15,30,250.605192,471.6545818307336,-221.04938983073362,-7.368312994357788,299.30869819286227,-48.70350619286228,-1.6234502064287426,250.97274174140261,-0.36754974140262675,-0.012251658046754226,250.97274174140261,-0.36754974140262675,-0.012251658046754226,248.85553917819382,1.7496528218061655,0.05832176072687219,False,False
14,16,30,243.681243,471.6545818307336,-227.9733388307336,-7.599111294357787,299.30869819286227,-55.62745519286227,-1.8542485064287424,244.0676051054798,-0.38636210547980454,-0.012878736849326817,240.97039304345824,2.7108499565417503,0.09036166521805834,243.08759560666704,0.593647393332958,0.019788246444431935,False,False
13,17,30,224.165094,471.6545818307336,-247.4894878307336,-8.249649594357786,299.30869819286227,-75.14360419286226,-2.5047868064287417,236.70212602716214,-12.537032027162127,-0.4179010675720709,224.31327777907592,-0.1481837790759073,-0.004939459302530243,222.19607521586713,1.969018784132885,0.06563395947109617,False,False
20,11,31,229.3590118,487.3764012250914,-258.01738942509144,-8.323141594357788,311.22157710895715,-81.86256530895716,-2.6407279131921664,286.1779692964234,-56.818957496423394,-1.832869596658819,225.48260388745265,3.876407912547336,0.12504541653378504,225.48260388745265,3.876407912547336,0.12504541653378504,False,True
19,12,31,243.9448466,487.3764012250914,-243.4315546250914,-7.852630794357787,311.22157710895715,-67.27673050895714,-2.170217113192166,281.1692477339166,-37.224401133916615,-1.200787133352149,244.4522982889837,-0.5074516889837071,-0.016369409322055068,244.4522982889837,-0.5074516889837071,-0.016369409322055068,False,False
18,13,31,254.991058,487.3764012250914,-232.3853432250914,-7.496301394357787,311.22157710895715,-56.23051910895714,-1.8138877131921658,275.70518784754563,-20.71412984754562,-0.6681977370176007,256.97205037564106,-1.9809923756410512,-0.06390297985938875,256.97205037564106,-1.9809923756410512,-0.06390297985938875,False,False
17,14,31,262.20703960000003,487.3764012250914,-225.16936162509137,-7.2635277943577865,311.22157710895715,-49.01453750895712,-1.581114113192165,269.78578963731036,-7.5787500373103285,-0.24447580765517188,263.0418601474247,-0.8348205474246697,-0.026929695078215153,263.0418601474247,-0.8348205474246697,-0.026929695078215153,False,False
16,15,31,262.9161987,487.3764012250914,-224.4602025250914,-7.240651694357787,311.22157710895715,-48.305378408957154,-1.5582380131921663,263.41105310321086,-0.4948544032108657,-0.015963045264866634,262.66172760433466,0.25447109566533754,0.008208745021462502,262.66172760433466,0.25447109566533754,0.008208745021462502,False,False
15,16,31,256.7358403,487.3764012250914,-230.6405609250914,-7.440018094357787,311.22157710895715,-54.48573680895714,-1.757604413192166,256.58097824524714,0.15486205475286852,0.0049955501533183394,255.83165274637096,0.9041875536290434,0.02916734043964656,255.83165274637096,0.9041875536290434,0.02916734043964656,False,False
14,17,31,243.9455131,487.3764012250914,-243.4308881250914,-7.852609294357787,311.22157710895715,-67.27606400895715,-2.170195613192166,249.29556506341913,-5.3500519634191335,-0.17258232140061722,242.5516355735335,1.3938775264664969,0.044963791176338606,242.5516355735335,1.3938775264664969,0.044963791176338606,False,False
21,11,32,231.036208,503.0982206194492,-272.0620126194492,-8.501937894357788,323.1752011681007,-92.13899316810074,-2.879343536503148,298.3952298587622,-67.35902185876222,-2.1049694330863193,225.80432215513207,5.231885844867918,0.16349643265212244,223.75434958816825,7.281858411831735,0.2275580753697417,False,False
20,12,32,249.7229152,503.0982206194492,-253.3753054194492,-7.917978294357788,323.1752011681007,-73.45228596810074,-2.295383936503148,293.43923559689455,-43.71632039689456,-1.366135012402955,246.98105466657125,2.741860533428735,0.08568314166964797,249.03102723353507,0.6918879664649182,0.021621498952028695,False,True
