regime,model,removed_term,n,B_mae,B_rmse,BA_mae,BA_rmse,rank,condition_number
R1_Pb,term_removed_refit,surface,38,8.7065512797006,9.908459136161348,0.04425531070403391,0.05035570795780595,4,11645.477796091209
R1_Pb,term_removed_refit,coulomb,38,14.328699458283944,17.378972132469883,0.07462307939934656,0.09277973539213388,4,2152.3285211959283
R1_Pb,term_removed_refit,asymmetry,38,9.882631648695044,11.003384451391028,0.04990479987300872,0.05523813316344441,4,11650.854982814984
R1_Pb,term_removed_refit,pairing,38,4.159008471694565,5.076114971355334,0.02077423871165906,0.02500936633372934,4,1355.5609648558427
R2_neutron_rich,full,none,491,3.398729885677654,4.711465477034038,0.03109906765697418,0.05209266006411673,5,11808.92094394807
R2_neutron_rich,term_removed_refit,surface,491,12.200241520073673,15.362491145803936,0.15241881366120316,0.3110036003502239,4,11791.364492529214
R2_neutron_rich,term_removed_refit,coulomb,491,21.529329501268975,25.800781827269862,0.24959421460989248,0.5036295152846569,4,2120.649663410913
R2_neutron_rich,term_removed_refit,asymmetry,491,29.117781246717662,34.91055639384011,0.30892553728001376,0.526012829854153,4,11797.827610268994
R2_neutron_rich,term_removed_refit,pairing,491,3.44606739489999,4.739437054684581,0.031344237988883805,0.051066236577838264,4,1446.7464284591588
R3_proton_rich,full,none,491,2.3734973697388897,2.9996695754019056,0.023203511704360986,0.03208447779469343,5,12000.93593098178
R3_proton_rich,term_removed_refit,surface,491,13.479856205420967,17.30414083552031,0.23156807471174717,0.4670466386384566,4,11992.91807702489
R3_proton_rich,term_removed_refit,coulomb,491,26.879155959134383,32.68459744567781,0.4126897247153727,0.7995305588635674,4,2256.2389783005283
R3_proton_rich,term_removed_refit,asymmetry,491,16.7801335639447,22.277755399294527,0.29818196551215,0.6409723150644294,4,11998.014929274217
R3_proton_rich,term_removed_refit,pairing,491,2.5067652540821013,3.1423902425021235,0.026184669177176965,0.03876353239112998,4,1414.137027919952
R4_magic_pm1,full,none,524,3.4920266349102587,4.7037559230381865,0.0350795197846124,0.048829385376850803,5,12677.067920690746
R4_magic_pm1,term_removed_refit,surface,524,13.626083292308772,16.990314575911025,0.22028290532801828,0.36513225845854963,4,12625.319350522153
R4_magic_pm1,term_removed_refit,coulomb,524,23.22240410500199,28.59116147451332,0.3650607366480216,0.6041524223546807,4,2317.150550532818
R4_magic_pm1,term_removed_refit,asymmetry,524,20.49790214295118,25.629470940786412,0.3290683938411557,0.5503160509849825,4,12644.671268141323
R4_magic_pm1,term_removed_refit,pairing,524,3.4938942841871317,4.656835006345529,0.035977279686671707,0.04883276367771346,4,1495.4201506940742
R6_N50,full,none,19,3.2978743367196652,4.195686656157782,0.03671082463880815,0.04616177613283058,5,11844.499017069751
R6_N50,term_removed_refit,surface,19,3.803564595814859,5.0002088326859955,0.044482573161879764,0.06047140649616489,4,11833.667364473622
R6_N50,term_removed_refit,coulomb,19,9.124373151698382,10.33055793790167,0.10380150215086849,0.11861859085877308,4,2180.8936069851106
R6_N50,term_removed_refit,asymmetry,19,12.697691585252546,14.36786198939183,0.14455659771796855,0.1669777373096452,4,11838.748113374346
R6_N50,term_removed_refit,pairing,19,3.9304183748396087,4.784836573013832,0.043860374122572814,0.05289817532549758,4,1375.9028367695182
R6_N82,full,none,22,5.365197735048272,6.662758552044247,0.03934598179477118,0.049832159828706715,5,11800.297425994828
R6_N82,term_removed_refit,surface,22,13.907409918146216,14.762016733718864,0.09980275993424174,0.10631009590896093,4,11787.40047741859
R6_N82,term_removed_refit,coulomb,22,25.88812083896809,28.025518393874947,0.18607829442209958,0.2019370360858644,4,2171.8058490852704
R6_N82,term_removed_refit,asymmetry,22,22.58672370267427,24.18679330792504,0.1592426237995502,0.16978679671390992,4,11793.158657248585
R6_N82,term_removed_refit,pairing,22,5.848264400483045,7.095826317025882,0.04280670302729206,0.05296505891879635,4,1375.150518165429
R6_N126,full,none,14,5.495332963739202,6.191202830426766,0.026114642490807798,0.02959417598177519,5,11731.315891199223
R6_N126,term_removed_refit,surface,14,8.675015977557289,9.916358059177618,0.04115482534829879,0.047271214767897786,4,11719.71320469313
R6_N126,term_removed_refit,coulomb,14,13.973005081699966,16.14591432923829,0.06562811908239105,0.07550412374805401,4,2163.685477880962
R6_N126,term_removed_refit,asymmetry,14,4.901988924532215,5.591274431431774,0.02308252436546202,0.0263104206170529,4,11725.650862287506
R6_N126,term_removed_refit,pairing,14,5.855986892186446,6.5502893010349075,0.027818093805555794,0.031296127372036533,4,1366.0398630287332
R7_light_random,full,none,509,2.5638428036497625,3.652445059816623,0.04173648395636743,0.14214099737776564,5,10273.83778575951
